method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive
Masking Diffusion,generative,111,5000,247,1000,1247,4.0096230954290295,0.8799999999999999,0.9553571428571429,0.6524390243902439,0.7753623188405797,0.9424778761061947,0.7195945945945946,0.8160919540229885,0.7553191489361702,0.9871379009170751,0.9182649598473926,226,83,13
Filtered@750 Masking Diffusion,generative_filtered,111,5000,247,750,997,5.015045135406218,0.8899999999999999,0.9464285714285714,0.6463414634146342,0.7681159420289855,0.9375,0.6587837837837838,0.7738095238095238,0.7004310344827587,0.9856203600368771,0.9059148079434305,208,101,13
Original only,none,112,5000,247,0,247,20.242914979757085,0.9099999999999999,0.9574468085106383,0.5487804878048781,0.6976744186046512,0.9230769230769231,0.527027027027027,0.6709677419354839,0.5764966740576497,0.9602661458586055,0.8034156890801594,169,140,13
Magnitude warping,traditional,112,5000,247,1000,1247,4.0096230954290295,0.82,0.9649122807017544,0.6707317073170732,0.7913669064748201,0.9446640316205533,0.8074324324324325,0.8706739526411658,0.8315935977731385,0.99521446940657,0.9614936369235503,253,57,14
Masking Diffusion,generative,112,5000,247,1000,1247,4.0096230954290295,0.84,0.9658119658119658,0.6890243902439024,0.8042704626334519,0.9568627450980393,0.8243243243243243,0.8856624319419237,0.8478109798471161,0.9940220292105391,0.9602878437937522,255,52,11
Filtered@750 Masking Diffusion,generative_filtered,112,5000,247,750,997,5.015045135406218,0.8699999999999999,0.9722222222222222,0.6402439024390244,0.7720588235294118,0.9634703196347032,0.7128378378378378,0.8194174757281554,0.751960085531005,0.9915534475229268,0.9390299924847466,219,85,8
Original only,none,113,5000,247,0,247,20.242914979757085,0.9199999999999999,0.8461538461538461,0.5365853658536586,0.6567164179104478,0.8735632183908046,0.5135135135135135,0.6468085106382979,0.5596465390279823,0.9568901936047358,0.7851301740630278,174,144,22
Magnitude warping,traditional,113,5000,247,1000,1247,4.0096230954290295,0.83,0.9661016949152542,0.6951219512195121,0.8085106382978723,0.9672131147540983,0.7972972972972973,0.8740740740740741,0.8263305322128851,0.9941202872531418,0.9598498972483359,244,60,8
Masking Diffusion,generative,113,5000,247,1000,1247,4.0096230954290295,0.8799999999999999,0.9826086956521739,0.6890243902439024,0.8100358422939068,0.9864253393665159,0.7364864864864865,0.8433268858800773,0.7758007117437722,0.9877395797952351,0.9336358061554575,221,78,3
Filtered@750 Masking Diffusion,generative_filtered,113,5000,247,750,997,5.015045135406218,0.8599999999999999,0.8854961832061069,0.7073170731707317,0.7864406779661017,0.9049429657794676,0.8040540540540541,0.851520572450805,0.8223911541119557,0.9864039982531904,0.9240983410177078,263,58,25
