method,augmentation_family,seed,generated_anomaly_used,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auprc,false_negative,false_positive
Magnitude warping,traditional,42,1000,0.33999999999999997,0.29338103756708406,1.0,0.4536652835408022,0.19270833333333334,1.0,0.3231441048034934,0.5441176470588235,0.9632867420814195,0,1240
Magnitude warping,traditional,42,1000,0.3499999999999999,0.296028880866426,1.0,0.4568245125348189,0.19693945442448438,1.0,0.3290717065036131,0.5508001488649051,0.9632867420814195,0,1207
Magnitude warping,traditional,42,1000,0.35999999999999993,0.2987249544626594,1.0,0.4600280504908836,0.20218579234972678,1.0,0.33636363636363636,0.5589123867069486,0.9632867420814195,0,1168
Magnitude warping,traditional,42,1000,0.36999999999999994,0.30091743119266057,1.0,0.46262341325811,0.20713785864240727,1.0,0.34318840579710147,0.5663987753539992,0.9632867420814195,0,1133
Magnitude warping,traditional,42,1000,0.37999999999999995,0.3048327137546468,1.0,0.4672364672364672,0.2117310443490701,1.0,0.34946871310507677,0.5731990704879938,0.9632867420814195,0,1102
Magnitude warping,traditional,42,1000,0.38999999999999996,0.3082706766917293,1.0,0.47126436781609193,0.21433743664011587,1.0,0.3530113297555158,0.5769980506822612,0.9632867420814195,0,1085
Magnitude warping,traditional,42,1000,0.3999999999999999,0.31297709923664124,1.0,0.47674418604651164,0.21861152141802068,1.0,0.35878787878787877,0.5831363278171788,0.9632867420814195,0,1058
Magnitude warping,traditional,42,1000,0.4099999999999999,0.3153846153846154,1.0,0.47953216374269003,0.2237339380196523,1.0,0.3656578134651019,0.5903470283207021,0.9632867420814195,0,1027
Magnitude warping,traditional,42,1000,0.41999999999999993,0.31721470019342357,1.0,0.48164464023494863,0.2301710730948678,1.0,0.37420986093552466,0.5991902834008097,0.9632867420814195,0,990
Magnitude warping,traditional,42,1000,0.42999999999999994,0.32475247524752476,1.0,0.49028400597907323,0.23604465709728867,1.0,0.38193548387096776,0.6070549630844955,0.9632867420814195,0,958
Magnitude warping,traditional,42,1000,0.43999999999999995,0.328,1.0,0.4939759036144578,0.24242424242424243,1.0,0.3902439024390244,0.6153846153846154,0.9632867420814195,0,925
Magnitude warping,traditional,42,1000,0.4499999999999999,0.3319838056680162,1.0,0.49848024316109424,0.24790619765494137,1.0,0.39731543624161075,0.6223717409587889,0.9632867420814195,0,898
Magnitude warping,traditional,42,1000,0.4599999999999999,0.33814432989690724,1.0,0.5053929121725732,0.252129471890971,1.0,0.40272108843537413,0.6276505513146734,0.9632867420814195,0,878
Magnitude warping,traditional,42,1000,0.4699999999999999,0.34243697478991597,0.9939024390243902,0.509375,0.2591943957968476,1.0,0.41168289290681503,0.6362854686156492,0.9632867420814195,0,846
Magnitude warping,traditional,42,1000,0.4799999999999999,0.3490364025695932,0.9939024390243902,0.5166402535657686,0.26738934056007224,1.0,0.4219529579472559,0.6460061108686164,0.9632867420814195,0,811
Magnitude warping,traditional,42,1000,0.48999999999999994,0.3528138528138528,0.9939024390243902,0.5207667731629393,0.2748375116063138,1.0,0.43117261471230883,0.6545776205218929,0.9632867420814195,0,781
Magnitude warping,traditional,42,1000,0.49999999999999994,0.3614190687361419,0.9939024390243902,0.5300813008130081,0.2808349146110057,1.0,0.43851851851851853,0.6613047363717605,0.9632867420814195,0,758
